"104.255.170.65:53138","US"
"181.6.124.189:1080","AR"
"20.198.168.89:1080","SG"
"192.99.7.189:50455","CA"
"59.152.91.13:9954","BD"
"162.144.66.22:25252","US"
"161.202.101.222:1080","US"
"51.159.21.239:10089","FR"
"118.193.40.150:1080","HK"
"50.62.57.204:48576","US"
"69.163.160.197:59311","US"
"104.255.170.69:53138","US"
"167.71.41.243:64441","DE"
"162.144.66.22:38235","US"
"188.166.104.152:51796","NL"
"222.248.177.200:1080","HK"
"132.148.27.211:18549","US"
"27.116.51.85:6667","IN"
"59.152.91.105:9954","BD"
"103.205.5.43:1080","US"
"8.210.251.244:6666","HK"
"181.3.90.185:1080","CA"
"132.148.156.206:2667","US"
"167.71.41.243:41608","DE"
"181.5.204.165:1080","AR"
"195.177.217.131:19239","PL"
"195.177.217.131:58433","PL"
"50.62.35.16:11915","US"
"162.144.66.22:39685","US"
"132.148.157.55:2709","US"
"165.227.119.98:19076","US"
"103.250.157.39:6667","IN"
"68.183.130.112:19053","US"
"166.62.85.224:50117","US"
"98.162.96.53:10663","US"
"167.71.41.243:59898","DE"
"217.147.175.20:1088","UA"
"69.163.167.133:59311","US"
"88.202.177.242:1080","NL"
"192.99.7.189:55483","CA"
"169.56.21.195:1080","US"
"132.148.155.205:2709","US"
"5.105.1.86:16379","FR"
"171.244.22.20:24942","VN"
"148.72.65.242:63442","US"
"204.236.255.196:1080","US"
"198.199.109.36:22772","US"
"184.185.2.190:4145","US"
"128.14.162.230:23500","IN"
"158.69.181.129:63425","CA"
"103.250.157.43:6667","IN"
"104.238.97.215:51674","US"
"103.21.163.76:6667","IN"
"167.71.41.243:48580","DE"
"69.163.161.95:59311","US"
"167.172.155.178:30349","US"
"68.183.130.112:28041","US"
"181.7.223.91:1080","AR"
"194.87.48.77:1080","CZ"
"81.201.63.13:27418","CZ"
"103.90.231.93:43307","VN"
"115.227.212.252:1080","HK"
"117.25.161.164:7891","NO"
"150.129.54.111:6667","IN"
"178.62.79.49:53005","GB"
"128.199.111.243:32793","SG"
"59.152.91.45:9954","BD"
"43.224.10.23:6667","IN"
"115.45.72.82:9050","HK"
"50.62.35.16:32791","US"
"103.81.84.118:8088","VN"
"104.255.170.70:55112","US"
"5.42.158.119:1080","FR"
"5.42.158.111:1080","FR"
"192.169.219.79:18638","US"
"162.144.66.22:16603","US"
"8.210.251.244:24691","HK"
"138.197.156.41:40749","CA"
"51.83.190.248:19050","DE"
"159.75.212.120:7891","TW"
"132.148.159.163:31207","US"
"97.74.6.64:62221","US"
"167.71.41.243:56081","DE"
"178.234.40.91:1080","RU"
"185.179.196.19:1080","RU"
"165.227.119.98:49740","US"
